2025-08-25T10:51:35.838700 DEBUG  [exec-worker-1] [Bolt::Transport::Local] Running command 'powershell.exe -Command "Get-Service *puppet* | Set-Service puppet -StartupType Manual "' on localhost
2025-08-25T10:51:39.785434 INFO   [exec-worker-1] [Bolt::Executor] {"target":"localhost","action":"command","object":"powershell.exe -Command \"Get-Service *puppet* | Set-Service puppet -StartupType Manual \"","status":"success","value":{"stdout":"","stderr":"","merged_output":"","exit_code":0}}
2025-08-25T10:51:39.787114 INFO   [event-publisher] [Bolt::Outputter::Logger] Finished: command 'powershell.exe -Command "Get-Service *puppet* | Set-Service puppet -StartupType Manual "' with 0 failures in 3.95 sec
2025-08-25T10:51:39.787596 INFO   [event-publisher] [Bolt::Outputter::Logger] Starting: command 'powershell.exe -Command "@('custom_attributes:', '  challengePassword: TEST-SECRET') | Out-File 'C:/ProgramData/PuppetLabs/puppet/etc/csr_attributes.yaml' -Encoding ASCII"' on localhost
2025-08-25T10:51:39.787238 INFO   [exec-worker-1] [Bolt::Executor] Running command 'powershell.exe -Command "@('custom_attributes:', '  challengePassword: TEST-SECRET') | Out-File 'C:/ProgramData/PuppetLabs/puppet/etc/csr_attributes.yaml' -Encoding ASCII"' on ["localhost"]
2025-08-25T10:51:39.787782 DEBUG  [exec-worker-1] [Bolt::Transport::Local] Running command 'powershell.exe -Command "@('custom_attributes:', '  challengePassword: TEST-SECRET') | Out-File 'C:/ProgramData/PuppetLabs/puppet/etc/csr_attributes.yaml' -Encoding ASCII"' on localhost
2025-08-25T10:51:43.817840 INFO   [exec-worker-1] [Bolt::Executor] {"target":"localhost","action":"command","object":"powershell.exe -Command \"@('custom_attributes:', '  challengePassword: TEST-SECRET') | Out-File 'C:/ProgramData/PuppetLabs/puppet/etc/csr_attributes.yaml' -Encoding ASCII\"","status":"success","value":{"stdout":"","stderr":"","merged_output":"","exit_code":0}}
2025-08-25T10:51:43.818838 INFO   [event-publisher] [Bolt::Outputter::Logger] Finished: command 'powershell.exe -Command "@('custom_attributes:', '  challengePassword: TEST-SECRET') | Out-File 'C:/ProgramData/PuppetLabs/puppet/etc/csr_attributes.yaml' -Encoding ASCII"' with 0 failures in 4.03 sec
2025-08-25T10:51:43.833572 INFO   [exec-worker-1] [Bolt::Executor] Uploading file C:/Users/derek/Epic/PackerGoldenImage/bolt/windows_config/files/puppet.conf to C:/ProgramData/PuppetLabs/puppet/etc/puppet.conf on ["localhost"]
2025-08-25T10:51:43.834068 DEBUG  [exec-worker-1] [Bolt::Transport::Local] Uploading: 'C:/Users/derek/Epic/PackerGoldenImage/bolt/windows_config/files/puppet.conf' to C:/ProgramData/PuppetLabs/puppet/etc/puppet.conf on localhost
